S.N,Date,Design_No,Current_Stock,Tile_Name,Category,Brand,Size,Min_Stock,Max_Stock,Unit_Price,Status,Total_Value,Last_Updated
100.0,01-04-2025,3071 - D,8.0,3071 - D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
101.0,01-04-2025,3071 - HL-1,15.0,3071 - HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
102.0,01-04-2025,3084 -PARK.TILES- 12*18 (D),11.0,3084 -PARK.TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
103.0,01-04-2025,3084 -PARK.TILES- 12*18 (HL-2),6.0,3084 -PARK.TILES- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,
104.0,01-04-2025,3084 -PARK.TILES- 12*18 (L),15.0,3084 -PARK.TILES- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
105.0,01-04-2025,3091 -WALL TILES- 12*18 (D),72.0,3091 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
106.0,01-04-2025,3091 -WALL TILES- 12*18 (F),16.0,3091 -WALL TILES- 12*18 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
107.0,01-04-2025,3091 -WALL TILES- 12*18 (HL-1),21.0,3091 -WALL TILES- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
108.0,01-04-2025,3091 -WALL TILES- 12*18 (HL-2),17.0,3091 -WALL TILES- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,
109.0,01-04-2025,3091 -WALL TILES- 12*18 (L),83.0,3091 -WALL TILES- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
110.0,01-04-2025,3108 -WALL TILES- 12*18 (D),2.0,3108 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
111.0,01-04-2025,3108 -WALL TILES- 12*18 (F),38.0,3108 -WALL TILES- 12*18 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
112.0,01-04-2025,3108 -WALL TILES- 12*18 (HL-1),5.0,3108 -WALL TILES- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
113.0,01-04-2025,3110 -WALL TILES- 12*18 (F),5.0,3110 -WALL TILES- 12*18 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
114.0,01-04-2025,3190 D,30.0,3190 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
115.0,01-04-2025,3190 L,24.0,3190 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
116.0,01-04-2025,3193 HL-1,15.0,3193 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
117.0,01-04-2025,3193 HL-2,15.0,3193 HL-2,Uncategorized,Generic,,10,100,0.0,Active,0.0,
118.0,01-04-2025,3193 L,77.0,3193 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
119.0,01-04-2025,3252 - L,3.0,3252 - L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
120.0,01-04-2025,34037,17.0,34037,Uncategorized,Generic,,10,100,0.0,Active,0.0,
121.0,01-04-2025,3410 -WALL TILES- 12*18 (F),13.0,3410 -WALL TILES- 12*18 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
122.0,01-04-2025,34132,2.0,34132,Uncategorized,Generic,,10,100,0.0,Active,0.0,
123.0,01-04-2025,3501 -WALL TILES- 12*18 (D),9.0,3501 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
124.0,01-04-2025,3501 -WALL TILES- 12*18 (F),22.0,3501 -WALL TILES- 12*18 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
125.0,01-04-2025,35022,11.0,35022,Uncategorized,Generic,,10,100,0.0,Active,0.0,
126.0,01-04-2025,3505 -WALL TILES- 12*18 (D),6.0,3505 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
127.0,01-04-2025,3505 -WALL TILES- 12*18 (F),48.0,3505 -WALL TILES- 12*18 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
128.0,01-04-2025,3505 -WALL TILES- 12*18 (HL-1),10.0,3505 -WALL TILES- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
129.0,01-04-2025,3505 -WALL TILES- 12*18 (HL-2),2.0,3505 -WALL TILES- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,
130.0,01-04-2025,3505 -WALL TILES- 12*18 (L),2.0,3505 -WALL TILES- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
131.0,01-04-2025,3547 HL-1,3.0,3547 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
132.0,01-04-2025,3547 HL-2,17.0,3547 HL-2,Uncategorized,Generic,,10,100,0.0,Active,0.0,
133.0,01-04-2025,3547 L,74.0,3547 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
134.0,01-04-2025,3559 HL-1,21.0,3559 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
135.0,01-04-2025,38009,4.0,38009,Uncategorized,Generic,,10,100,0.0,Active,0.0,
136.0,01-04-2025,3D ARCADE WHITE -PGVT- 24*24,9.0,3D ARCADE WHITE -PGVT- 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
137.0,01-04-2025,3D BLACK CUBIC SQUARE -PGVT- 24*24,11.0,3D BLACK CUBIC SQUARE -PGVT- 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
138.0,01-04-2025,3D REFLECTA SILVER -PGVT-24*24,14.0,3D REFLECTA SILVER -PGVT-24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
139.0,01-04-2025,3 Feet 159,77.0,3 Feet 159,Uncategorized,Generic,,10,100,0.0,Active,0.0,
140.0,01-04-2025,3 Feet 160,76.0,3 Feet 160,Uncategorized,Generic,,10,100,0.0,Active,0.0,
141.0,01-04-2025,4003,5.0,4003,Uncategorized,Generic,,10,100,0.0,Active,0.0,
142.0,01-04-2025,4010 - F,1.0,4010 - F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
143.0,01-04-2025,4010 - L,1.0,4010 - L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
144.0,01-04-2025,4020 DK,101.0,4020 DK,Uncategorized,Generic,,10,100,0.0,Active,0.0,
145.0,01-04-2025,4021,81.0,4021,Uncategorized,Generic,,10,100,0.0,Active,0.0,
146.0,01-04-2025,4 Feet 1008,46.0,4 Feet 1008,Uncategorized,Generic,,10,100,0.0,Active,0.0,
147.0,01-04-2025,4 Feet F.B. (203),63.0,4 Feet F.B. (203),Uncategorized,Generic,,10,100,0.0,Active,0.0,
148.0,01-04-2025,4 Feet F.B. (207),50.0,4 Feet F.B. (207),Uncategorized,Generic,,10,100,0.0,Active,0.0,
149.0,01-04-2025,4 Feet SP40,42.0,4 Feet SP40,Uncategorized,Generic,,10,100,0.0,Active,0.0,
150.0,01-04-2025,5004,93.0,5004,Uncategorized,Generic,,10,100,0.0,Active,0.0,
151.0,01-04-2025,5006,83.0,5006,Uncategorized,Generic,,10,100,0.0,Active,0.0,
152.0,01-04-2025,5011 -WALL TILES- 12*18 (L),4.0,5011 -WALL TILES- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
153.0,01-04-2025,5031 -WALL TILES- 12*18 (HL-1),10.0,5031 -WALL TILES- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
154.0,01-04-2025,5031 -WALL TILES- 12*18 (HL-2),12.0,5031 -WALL TILES- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,
155.0,01-04-2025,5037 -WALL TILES- 12*18 (D),20.0,5037 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
156.0,01-04-2025,5038,25.0,5038,Uncategorized,Generic,,10,100,0.0,Active,0.0,
157.0,01-04-2025,50408 SECOORA,17.0,50408 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
158.0,01-04-2025,5052 -WALL TILES- 12*18 (D),1.0,5052 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
159.0,01-04-2025,5052 -WALL TILES- 12*18 (HL-1),22.0,5052 -WALL TILES- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
160.0,01-04-2025,5052 -WALL TILES- 12*18 (HL-2),30.0,5052 -WALL TILES- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,
161.0,01-04-2025,5053 -WALL TILES- 12*18 (HL-1),10.0,5053 -WALL TILES- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
162.0,01-04-2025,5053 -WALL TILES- 12*18 (HL-2),17.0,5053 -WALL TILES- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,
163.0,01-04-2025,5087 -WALL TILES- 12*18 (HL-2),4.0,5087 -WALL TILES- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,
164.0,01-04-2025,5087 -WALL TILES- 12*18 (L),8.0,5087 -WALL TILES- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
165.0,01-04-2025,511 - KCH-2 SECOORA,23.0,511 - KCH-2 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
166.0,01-04-2025,51207 - D SECOORA,1.0,51207 - D SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
167.0,01-04-2025,51207 - F SECOORA,32.0,51207 - F SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
168.0,01-04-2025,51207 - HL-1,50.0,51207 - HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
169.0,01-04-2025,51207 - L SECOORA,62.0,51207 - L SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
170.0,01-04-2025,51279 - D SECOORA,50.0,51279 - D SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
171.0,01-04-2025,51279 - F SECOORA,36.0,51279 - F SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
172.0,01-04-2025,51279 - HL-1 SECOORA,36.0,51279 - HL-1 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
173.0,01-04-2025,51279 - L SECOORA,84.0,51279 - L SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
174.0,01-04-2025,51461 (F) 12*12 SECOORA,53.0,51461 (F) 12*12 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
175.0,01-04-2025,51477 (F) 12*12 SECOORA,7.0,51477 (F) 12*12 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
176.0,01-04-2025,51495 - D SECOORA,58.0,51495 - D SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
177.0,01-04-2025,51495 - F SECOORA,29.0,51495 - F SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
178.0,01-04-2025,51495 - L SECOORA,42.0,51495 - L SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
179.0,01-04-2025,514 - KCH-07 SECOORA,1.0,514 - KCH-07 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
180.0,01-04-2025,514 - KCH-09 SECOORA,11.0,514 - KCH-09 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
181.0,01-04-2025,514 - L SECOORA,71.0,514 - L SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
182.0,01-04-2025,51657 (F) 12*12 SECOORA,4.0,51657 (F) 12*12 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
183.0,01-04-2025,51815 (F) 12*12 SECOORA,30.0,51815 (F) 12*12 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
184.0,01-04-2025,51867 (LF) 12*12 SECOORA,5.0,51867 (LF) 12*12 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
185.0,01-04-2025,51942 -D,5.0,51942 -D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
186.0,01-04-2025,51942 - F,26.0,51942 - F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
187.0,01-04-2025,51942 HL-1,11.0,51942 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
188.0,01-04-2025,51942 -L,22.0,51942 -L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
189.0,01-04-2025,519 - KCH-1 SECOORA,4.0,519 - KCH-1 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
190.0,01-04-2025,52572 Secoora - D,1.0,52572 Secoora - D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
191.0,01-04-2025,52572 Secoora - F,2.0,52572 Secoora - F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
192.0,01-04-2025,52572 Secoora HL,23.0,52572 Secoora HL,Uncategorized,Generic,,10,100,0.0,Active,0.0,
193.0,01-04-2025,52572 Secoora - L,26.0,52572 Secoora - L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
194.0,01-04-2025,52600 - D SECOORA,34.0,52600 - D SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
195.0,01-04-2025,52600 - F SECOORA,12.0,52600 - F SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
196.0,01-04-2025,52600 - HL-1 SECOORA,41.0,52600 - HL-1 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
197.0,01-04-2025,52600 - L SECOORA,30.0,52600 - L SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
198.0,01-04-2025,52608 -D SECOORA,74.0,52608 -D SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
199.0,01-04-2025,52608 -F SECOORA,44.0,52608 -F SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
200.0,01-04-2025,52608 - L SECOORA,74.0,52608 - L SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
201.0,01-04-2025,52611 - HL-2,2.0,52611 - HL-2,Uncategorized,Generic,,10,100,0.0,Active,0.0,
202.0,01-04-2025,55001 2X2 PRE.,31.0,55001 2X2 PRE.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
203.0,01-04-2025,550 - KCH-2 SECOORA,4.0,550 - KCH-2 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
204.0,01-04-2025,553 - KCH-01 SECOORA,3.0,553 - KCH-01 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
205.0,01-04-2025,6006,114.0,6006,Uncategorized,Generic,,10,100,0.0,Active,0.0,
206.0,01-04-2025,600*600 D.Charge Simanto Glaxy Choclate,4.0,600*600 D.Charge Simanto Glaxy Choclate,Uncategorized,Generic,,10,100,0.0,Active,0.0,
207.0,01-04-2025,600*600 D.Charge Simanto Glaxy Marble,2.0,600*600 D.Charge Simanto Glaxy Marble,Uncategorized,Generic,,10,100,0.0,Active,0.0,
208.0,01-04-2025,600*600 D. Charge Simanto Glaxy Pista,1.0,600*600 D. Charge Simanto Glaxy Pista,Uncategorized,Generic,,10,100,0.0,Active,0.0,
